Data For Node Id:0
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:3, Parent ID:1, Miner ID:1, Txns:1, Time:46.299977450185494
Block Id:9, Parent ID:1, Miner ID:7, Txns:1, Time:68.99663167115357
Block Id:16, Parent ID:3, Miner ID:1, Txns:1, Time:74.82431935064992
Block Id:28, Parent ID:16, Miner ID:1, Txns:1, Time:105.04481758941313
Block Id:27, Parent ID:16, Miner ID:1, Txns:2, Time:125.56949311330473
Block Id:39, Parent ID:28, Miner ID:1, Txns:1, Time:130.4802761177792
Block Id:15, Parent ID:3, Miner ID:1, Txns:1, Time:138.63209310120794
Block Id:33, Parent ID:28, Miner ID:1, Txns:5, Time:178.82502041947885
Block Id:29, Parent ID:16, Miner ID:1, Txns:1, Time:178.83345605433956
Block Id:40, Parent ID:39, Miner ID:1, Txns:2, Time:189.75892006138196
Block Id:45, Parent ID:39, Miner ID:1, Txns:1, Time:208.9971610361246
Block Id:31, Parent ID:16, Miner ID:1, Txns:1, Time:211.1094781643514
Block Id:7, Parent ID:1, Miner ID:5, Txns:1, Time:225.90602332144314
Block Id:37, Parent ID:28, Miner ID:1, Txns:1, Time:242.68343067231262
Block Id:55, Parent ID:7, Miner ID:5, Txns:1, Time:250.00537815498697
Block Id:38, Parent ID:28, Miner ID:1, Txns:1, Time:254.6403150578408
Block Id:63, Parent ID:55, Miner ID:5, Txns:1, Time:256.98149777021695
Block Id:42, Parent ID:39, Miner ID:1, Txns:2, Time:258.7447540505202
Block Id:46, Parent ID:39, Miner ID:1, Txns:1, Time:282.6394270827447
Block Id:51, Parent ID:40, Miner ID:1, Txns:1, Time:287.75149900788574
Block Id:49, Parent ID:40, Miner ID:1, Txns:2, Time:295.98962296046443
Block Id:22, Parent ID:9, Miner ID:7, Txns:1, Time:301.4364441039207
Block Id:48, Parent ID:40, Miner ID:1, Txns:3, Time:303.2239293358537
Block Id:61, Parent ID:55, Miner ID:5, Txns:2, Time:304.69822756451435
Block Id:64, Parent ID:63, Miner ID:5, Txns:1, Time:312.20910848840236
Block Id:36, Parent ID:28, Miner ID:1, Txns:1, Time:321.45754839720337
Block Id:86, Parent ID:64, Miner ID:5, Txns:1, Time:328.626846485632
Block Id:71, Parent ID:51, Miner ID:1, Txns:2, Time:330.5305880716742
Block Id:20, Parent ID:9, Miner ID:7, Txns:1, Time:330.6674823767336
Block Id:59, Parent ID:55, Miner ID:5, Txns:3, Time:342.42158783300664
Block Id:8, Parent ID:1, Miner ID:6, Txns:1, Time:343.77163372675267
Block Id:97, Parent ID:71, Miner ID:1, Txns:1, Time:348.5727173131389
Block Id:68, Parent ID:63, Miner ID:5, Txns:1, Time:350.71459929849016
Block Id:60, Parent ID:55, Miner ID:5, Txns:3, Time:355.91432119687767
Block Id:41, Parent ID:39, Miner ID:1, Txns:3, Time:356.6360251471818
Block Id:44, Parent ID:39, Miner ID:1, Txns:1, Time:364.28218316510055
Block Id:62, Parent ID:55, Miner ID:5, Txns:1, Time:366.94533734316934
