Data For Node Id: 12
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:674.5603598341535
Block Id:21, Parent ID:16, Miner ID:14, Txns:1, Time:740.6740494264749
Block Id:31, Parent ID:21, Miner ID:14, Txns:2, Time:1274.054245082568
Block Id:89, Parent ID:31, Miner ID:14, Txns:1, Time:1912.823134378014
Block Id:123, Parent ID:89, Miner ID:14, Txns:1, Time:2158.471411136337
Block Id:93, Parent ID:31, Miner ID:7, Txns:1, Time:2065.912568602793
Block Id:126, Parent ID:93, Miner ID:7, Txns:2, Time:2183.817549117688
Block Id:183, Parent ID:89, Miner ID:6, Txns:1, Time:2212.0190129437287
Block Id:166, Parent ID:123, Miner ID:14, Txns:1, Time:2358.163788873382
Block Id:232, Parent ID:166, Miner ID:9, Txns:2, Time:2727.163431370353
Block Id:244, Parent ID:232, Miner ID:9, Txns:3, Time:3318.554285101388
Block Id:290, Parent ID:244, Miner ID:1, Txns:4, Time:3777.7393116702883
Block Id:323, Parent ID:290, Miner ID:8, Txns:4, Time:3850.8215819008456
Block Id:311, Parent ID:290, Miner ID:1, Txns:2, Time:4039.098511484092
Block Id:288, Parent ID:244, Miner ID:9, Txns:1, Time:3903.625815648442
Block Id:367, Parent ID:311, Miner ID:1, Txns:2, Time:4105.969721487733
Block Id:418, Parent ID:323, Miner ID:0, Txns:1, Time:4346.386970203401
Block Id:436, Parent ID:418, Miner ID:0, Txns:1, Time:4457.57863191278
Block Id:517, Parent ID:436, Miner ID:12, Txns:2, Time:5127.006191158834
Block Id:467, Parent ID:436, Miner ID:0, Txns:2, Time:5342.802986922559
Block Id:546, Parent ID:467, Miner ID:0, Txns:1, Time:5405.4837270123735
Block Id:565, Parent ID:546, Miner ID:0, Txns:1, Time:5580.271041314861
Block Id:653, Parent ID:546, Miner ID:7, Txns:2, Time:5852.035277759772
Block Id:689, Parent ID:653, Miner ID:7, Txns:1, Time:6311.09720818598
Block Id:751, Parent ID:689, Miner ID:14, Txns:3, Time:7320.203060529383
Block Id:782, Parent ID:751, Miner ID:14, Txns:2, Time:7425.172059478561
Block Id:816, Parent ID:782, Miner ID:14, Txns:1, Time:7485.699264251284
Block Id:829, Parent ID:816, Miner ID:14, Txns:1, Time:7708.536404211419
Block Id:933, Parent ID:829, Miner ID:14, Txns:1, Time:7824.709096336653
Block Id:983, Parent ID:933, Miner ID:14, Txns:1, Time:8073.91114840915
Block Id:1018, Parent ID:933, Miner ID:9, Txns:1, Time:8064.679217164482
Block Id:998, Parent ID:933, Miner ID:7, Txns:2, Time:8174.942637965783
Block Id:1078, Parent ID:1018, Miner ID:9, Txns:1, Time:8419.8434899209
Block Id:1149, Parent ID:1078, Miner ID:7, Txns:2, Time:8846.452730373365
Block Id:1185, Parent ID:1149, Miner ID:7, Txns:1, Time:8925.244808589387
Block Id:1168, Parent ID:1078, Miner ID:8, Txns:2, Time:8957.732603609453
Block Id:1292, Parent ID:1185, Miner ID:12, Txns:3, Time:9135.875164478892
Block Id:1135, Parent ID:1078, Miner ID:9, Txns:5, Time:8980.56812871108
Block Id:1309, Parent ID:1292, Miner ID:12, Txns:1, Time:9455.995373932772
Block Id:1330, Parent ID:1292, Miner ID:8, Txns:5, Time:9614.410685689198
