Data For Node Id: 12
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:899.916698534418
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:1027.9267853691538
Block Id:23, Parent ID:5, Miner ID:13, Txns:1, Time:3631.4266898720675
Block Id:50, Parent ID:23, Miner ID:5, Txns:2, Time:6622.972447576854
Block Id:56, Parent ID:50, Miner ID:12, Txns:2, Time:11516.421225773303
Block Id:68, Parent ID:50, Miner ID:14, Txns:1, Time:11614.000831654295
Block Id:76, Parent ID:68, Miner ID:14, Txns:2, Time:11625.052116311968
Block Id:106, Parent ID:56, Miner ID:6, Txns:2, Time:11935.928578123805
Block Id:105, Parent ID:76, Miner ID:3, Txns:2, Time:11974.707535359747
Block Id:121, Parent ID:76, Miner ID:1, Txns:1, Time:12274.836442567374
Block Id:139, Parent ID:105, Miner ID:8, Txns:2, Time:17005.606184196196
Block Id:159, Parent ID:139, Miner ID:11, Txns:1, Time:17751.74406872934
Block Id:181, Parent ID:159, Miner ID:9, Txns:3, Time:20233.180964003346
Block Id:217, Parent ID:181, Miner ID:8, Txns:2, Time:20784.862467541592
Block Id:236, Parent ID:217, Miner ID:3, Txns:2, Time:23661.09219726232
Block Id:245, Parent ID:217, Miner ID:14, Txns:3, Time:23799.038803473246
Block Id:274, Parent ID:236, Miner ID:13, Txns:3, Time:24655.096599702647
Block Id:305, Parent ID:274, Miner ID:6, Txns:2, Time:25065.202333614747
Block Id:331, Parent ID:305, Miner ID:4, Txns:3, Time:30542.00878003464
Block Id:325, Parent ID:305, Miner ID:14, Txns:1, Time:30746.82187673431
Block Id:386, Parent ID:331, Miner ID:1, Txns:2, Time:31147.14956889754
Block Id:350, Parent ID:325, Miner ID:14, Txns:2, Time:31192.8528874351
Block Id:356, Parent ID:350, Miner ID:14, Txns:3, Time:31203.624072606763
Block Id:419, Parent ID:356, Miner ID:3, Txns:5, Time:32072.608008433792
Block Id:452, Parent ID:419, Miner ID:11, Txns:3, Time:34102.49556929689
Block Id:455, Parent ID:419, Miner ID:14, Txns:2, Time:34324.006053812875
Block Id:471, Parent ID:455, Miner ID:14, Txns:2, Time:34335.44581033435
Block Id:522, Parent ID:471, Miner ID:1, Txns:1, Time:37512.65284340969
Block Id:475, Parent ID:471, Miner ID:14, Txns:2, Time:37635.83674682663
Block Id:563, Parent ID:522, Miner ID:5, Txns:1, Time:41516.21425647573
Block Id:530, Parent ID:475, Miner ID:14, Txns:4, Time:41805.78538298687
Block Id:570, Parent ID:530, Miner ID:14, Txns:2, Time:41830.67433906725
Block Id:626, Parent ID:570, Miner ID:6, Txns:2, Time:46287.3828675413
Block Id:613, Parent ID:570, Miner ID:4, Txns:4, Time:46510.807650950774
Block Id:577, Parent ID:570, Miner ID:14, Txns:2, Time:46384.20227751915
Block Id:632, Parent ID:577, Miner ID:14, Txns:2, Time:46418.14429806543
Block Id:669, Parent ID:632, Miner ID:5, Txns:2, Time:49102.951725338295
Block Id:710, Parent ID:669, Miner ID:11, Txns:2, Time:51329.281992490534
Block Id:734, Parent ID:710, Miner ID:9, Txns:2, Time:54537.7122009019
Block Id:745, Parent ID:710, Miner ID:14, Txns:2, Time:54694.89573158824
Block Id:773, Parent ID:734, Miner ID:1, Txns:2, Time:58216.57473279232
Block Id:749, Parent ID:745, Miner ID:14, Txns:3, Time:58364.62851456626
Block Id:752, Parent ID:749, Miner ID:14, Txns:9, Time:58406.689775277555
Block Id:828, Parent ID:752, Miner ID:12, Txns:2, Time:59303.25642590612
Block Id:841, Parent ID:828, Miner ID:13, Txns:3, Time:65919.6535392494
Block Id:860, Parent ID:828, Miner ID:14, Txns:2, Time:65935.22438345497
Block Id:869, Parent ID:860, Miner ID:14, Txns:5, Time:65937.07334514316
Block Id:864, Parent ID:828, Miner ID:7, Txns:1, Time:66101.49460347503
Block Id:915, Parent ID:869, Miner ID:7, Txns:2, Time:67069.04445189249
Block Id:879, Parent ID:869, Miner ID:14, Txns:4, Time:67253.20788043893
Block Id:934, Parent ID:879, Miner ID:14, Txns:8, Time:67273.37899714772
Block Id:988, Parent ID:934, Miner ID:6, Txns:2, Time:69791.37897337791
Block Id:943, Parent ID:934, Miner ID:14, Txns:5, Time:69854.32229737242
Block Id:1010, Parent ID:988, Miner ID:7, Txns:3, Time:71069.27530563362
Block Id:994, Parent ID:943, Miner ID:14, Txns:4, Time:71302.45875437153
Block Id:1014, Parent ID:994, Miner ID:14, Txns:2, Time:71323.42614850117
Block Id:1065, Parent ID:1014, Miner ID:4, Txns:2, Time:73655.63562610038
Block Id:1105, Parent ID:1065, Miner ID:7, Txns:3, Time:76059.15691592307
Block Id:1094, Parent ID:1065, Miner ID:2, Txns:3, Time:76093.92082317117
Block Id:1123, Parent ID:1105, Miner ID:13, Txns:6, Time:76538.83596215784
Block Id:1152, Parent ID:1123, Miner ID:9, Txns:2, Time:80789.91960164477
Block Id:1156, Parent ID:1123, Miner ID:3, Txns:2, Time:80772.74357702553
Block Id:1150, Parent ID:1123, Miner ID:14, Txns:2, Time:80888.8747592517
Block Id:1215, Parent ID:1152, Miner ID:5, Txns:2, Time:82383.61518755034
Block Id:1209, Parent ID:1152, Miner ID:1, Txns:2, Time:82711.26600704875
