Data For Node Id: 3
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:544.6860643742785
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:765.6152434079936
Block Id:30, Parent ID:5, Miner ID:9, Txns:1, Time:1437.5288156747713
Block Id:43, Parent ID:30, Miner ID:8, Txns:1, Time:3132.6885279674498
Block Id:65, Parent ID:43, Miner ID:7, Txns:1, Time:4216.572680386169
Block Id:64, Parent ID:43, Miner ID:14, Txns:1, Time:4292.706258456746
Block Id:90, Parent ID:65, Miner ID:5, Txns:1, Time:5620.678711248823
Block Id:70, Parent ID:64, Miner ID:14, Txns:2, Time:5826.001716611962
Block Id:110, Parent ID:90, Miner ID:8, Txns:1, Time:10890.577326824266
Block Id:95, Parent ID:70, Miner ID:14, Txns:2, Time:11058.007672530297
Block Id:153, Parent ID:110, Miner ID:1, Txns:1, Time:11462.904329379151
Block Id:124, Parent ID:95, Miner ID:14, Txns:3, Time:11496.361781182495
Block Id:168, Parent ID:153, Miner ID:4, Txns:2, Time:14733.110946324836
Block Id:128, Parent ID:124, Miner ID:14, Txns:4, Time:14881.428723604435
Block Id:200, Parent ID:168, Miner ID:10, Txns:1, Time:15448.750048802553
Block Id:197, Parent ID:168, Miner ID:7, Txns:2, Time:15583.765897246258
Block Id:129, Parent ID:128, Miner ID:14, Txns:3, Time:15612.259193695898
Block Id:217, Parent ID:197, Miner ID:8, Txns:1, Time:16144.41754930104
Block Id:133, Parent ID:129, Miner ID:14, Txns:2, Time:16329.925746127468
Block Id:233, Parent ID:217, Miner ID:11, Txns:2, Time:21823.20576528512
Block Id:135, Parent ID:133, Miner ID:14, Txns:3, Time:21929.57294128602
Block Id:175, Parent ID:135, Miner ID:14, Txns:3, Time:24036.090127157877
Block Id:266, Parent ID:233, Miner ID:13, Txns:3, Time:24140.476325350974
Block Id:284, Parent ID:266, Miner ID:1, Txns:3, Time:25225.645575915816
Block Id:176, Parent ID:175, Miner ID:14, Txns:3, Time:25239.343358218175
Block Id:330, Parent ID:284, Miner ID:8, Txns:2, Time:26854.549169379723
Block Id:313, Parent ID:176, Miner ID:14, Txns:2, Time:27009.910388870507
Block Id:349, Parent ID:330, Miner ID:4, Txns:6, Time:27681.44593087409
Block Id:340, Parent ID:313, Miner ID:14, Txns:2, Time:27826.89185163213
Block Id:396, Parent ID:349, Miner ID:5, Txns:3, Time:32663.66550789867
Block Id:417, Parent ID:396, Miner ID:5, Txns:3, Time:32669.372535052094
Block Id:347, Parent ID:340, Miner ID:14, Txns:2, Time:32805.00477748221
Block Id:375, Parent ID:347, Miner ID:14, Txns:3, Time:32805.82570743437
Block Id:436, Parent ID:417, Miner ID:6, Txns:2, Time:36907.894673145995
Block Id:448, Parent ID:417, Miner ID:11, Txns:1, Time:37436.93612017602
Block Id:492, Parent ID:436, Miner ID:0, Txns:1, Time:37864.43966254652
Block Id:504, Parent ID:492, Miner ID:1, Txns:6, Time:38347.08755897411
Block Id:537, Parent ID:504, Miner ID:12, Txns:4, Time:39290.563220276956
Block Id:587, Parent ID:537, Miner ID:1, Txns:2, Time:46477.15147493738
Block Id:583, Parent ID:537, Miner ID:14, Txns:2, Time:46571.77639802564
Block Id:611, Parent ID:587, Miner ID:1, Txns:2, Time:48530.34958967178
Block Id:596, Parent ID:583, Miner ID:14, Txns:2, Time:48580.86426622215
Block Id:660, Parent ID:611, Miner ID:7, Txns:2, Time:50728.73334741993
Block Id:672, Parent ID:611, Miner ID:4, Txns:2, Time:50731.018084451825
Block Id:605, Parent ID:596, Miner ID:14, Txns:2, Time:50761.86141575179
Block Id:706, Parent ID:660, Miner ID:12, Txns:2, Time:50805.74465688168
Block Id:647, Parent ID:605, Miner ID:14, Txns:3, Time:50925.34823455541
Block Id:729, Parent ID:706, Miner ID:2, Txns:2, Time:57571.10713459508
Block Id:648, Parent ID:647, Miner ID:14, Txns:35, Time:57734.295463101604
Block Id:731, Parent ID:706, Miner ID:5, Txns:1, Time:57980.868795615075
Block Id:784, Parent ID:729, Miner ID:10, Txns:2, Time:58007.66412141524
Block Id:683, Parent ID:648, Miner ID:14, Txns:2, Time:58225.94020043804
